Datetime,Screen Name,Name,text_clean,text_preprocessed,sentiment
2022-05-28 23:50:26+00:00,todaythewin,ðŸ€rain freetagðŸ€ðŸ¦€,kirain kuliah offline tugasnya bakal dikit ternyata sama aja malah makin ribetðŸ˜­ðŸ’”,"['kirain', 'kuliah', 'offline', 'tugas', 'dikit', 'aja', 'ribet']",negative
2022-05-28 23:43:50+00:00,sunflowerpuffs,HooniecombðŸ§,jujur ini bener bgtt kuliah udh full offline dan gue bingung dengan perbajuan karna baju gue ya itu aja apalagâ€¦,"['jujur', 'bener', 'bgtt', 'kuliah', 'udh', 'full', 'offline', 'gue', 'bingung', 'baju', 'karna', 'baju', 'gue', 'ya', 'aja', 'apalag']",negative
2022-05-28 23:36:32+00:00,collegemenfess,COLLE FORGER,cm pengen bgt ngekost lagi rasanya tpi kuliah blm offline garaÂ² smlm abis begadang ngerjain proposal udh hampir sâ€¦,"['cm', 'ken', 'bgt', 'ngekost', 'tpi', 'kuliah', 'blm', 'offline', 'gara', 'smlm', 'abis', 'begadang', 'ngerjain', 'proposal', 'udh', 's']",positive
2022-05-28 23:17:03+00:00,hahavirtual,virtualmu,besok udah kuliah offlineðŸ˜­ðŸ˜­,"['besok', 'udah', 'kuliah', 'offline']",negative
2022-05-28 22:29:59+00:00,danskic,dandi,besok kuliah offline  ðŸ¤—ðŸ˜‡ðŸ¤—ðŸ˜‡ðŸ¤—ðŸ˜‡ðŸ’€ðŸ’€ðŸ’€,"['besok', 'kuliah', 'offline', '']",negative
2022-05-28 20:22:59+00:00,DCALC0MANIE,ð™ð„ð„â˜ ,liat replyan tas atau totebagnya pada gedeÂ² lah gue semenjak kuliah offline abis pandemi  berangkat bawa jiwa ragaâ€¦,"['liat', 'replyan', 'tas', 'totebagnya', 'gede', 'gue', 'semenjak', 'kuliah', 'offline', 'abis', 'pandemi', 'berangkat', 'bawa', 'jiwa', 'raga']",positive
2022-05-28 19:38:20+00:00,cemilih,nanda,kalo udah mulai normal lagi udah pada sekolah kuliah offline udah full wfo juga gakebayang bakal semembludak apa jalanan ðŸ™ŒðŸ»,"['kalo', 'udah', 'normal', 'udah', 'sekolah', 'kuliah', 'offline', 'udah', 'full', 'wfo', 'gakebayang', 'semembludak', 'jalan', '']",negative
2022-05-28 18:43:06+00:00,julikelabu,nana,tenggorokan sakit dari kmrn jg badan udah berasa gaenak bgt udah malah ujan terus dinginnya ampun dehh udh mau kâ€¦,"['tenggorok', 'sakit', 'kmrn', 'jg', 'badan', 'udah', 'asa', 'gaenak', 'bgt', 'udah', 'ujan', 'dingin', 'ampun', 'dehh', 'udh', 'k']",negative
2022-05-28 18:12:37+00:00,nawchtoria,nana,its halal to say jancokkkkkkkkk lo bsa diem g gue kuliah offline  matkul,"['its', 'halal', 'to', 'say', 'jancokkkkkkkkk', 'lo', 'bsa', 'diem', 'g', 'gue', 'kuliah', 'offline', 'matkul']",negative
2022-05-28 17:27:33+00:00,okokeyoke,Rahmadhani Diah N,senderr mungkin dia bisa record video pas presentasi nanti videonya kalian masukkan ke ppt yg mauâ€¦,"['senderr', 'record', 'video', 'pas', 'presentasi', 'video', 'masuk', 'ppt', 'yg', 'mau']",positive
2022-05-28 17:16:00+00:00,apabukansihh,aditt,kuliah offline dan crush lu cakepnya luar biasa ovt sampai mampus,"['kuliah', 'offline', 'crush', 'lu', 'cakep', 'ovt', 'mampus']",positive
2022-05-28 17:00:28+00:00,reenaishere,spicy pisces,daritadi sibuk buka shopee mikirin kuliah offline nanti ootd setiap harinya pake apanðŸ˜­,"['daritadi', 'sibuk', 'buka', 'shopee', 'mikirin', 'kuliah', 'offline', 'ootd', 'hari', 'pake', 'apan']",negative
2022-05-28 16:57:44+00:00,qFirebolt,eidan,taee males banget kalo begini tiap hari mana senin kuliah offline,"['taee', 'males', 'banget', 'kalo', 'senin', 'kuliah', 'offline']",negative
2022-05-28 16:53:36+00:00,ori00n,Saoirse,bekas retak dilaptop gara diinjek ðŸˆ sekarang patah trs laptop w udah gabisa ditutup kalo ditutup ntar rusak semuaâ€¦,"['bekas', 'retak', 'laptop', 'gara', 'diinjek', '', 'patah', 'trs', 'laptop', 'w', 'udah', 'gabisa', 'tutup', 'kalo', 'tutup', 'ntar', 'rusak', 'semua']",negative
2022-05-28 16:45:37+00:00,seringkluyuran_,Supir Motor,kuliah offline tapi uas sistem the lagi bisa kali,"['kuliah', 'offline', 'uas', 'sistem', 'the', 'kali']",negative
